# id,buyerId,sellerIds(';'),timestamp,totalPrice,bookIds(';')
1,3000000001,2000000001,2025-07-04T10:15:30.1234567,60.0,a1b2c3d4-e5f6-7890-1234-567890abcdef
2,3000000002,2000000002,2025-07-04T11:20:10.7654321,26.0,c3d4e5f6-a7b8-9012-3456-7890abcdef12
3,3000000003,2000000003,2025-07-04T12:30:45.9876543,96.0,e5f6a7b8-c9d0-1234-5678-90abcdef1234
4,3000000004,2000000004,2025-07-04T13:45:05.1357924,32.0,a7b8c9d0-e1f2-3456-7890-bcdef1234567
5,3000000005,2000000005,2025-07-04T14:55:25.2468013,16.0,c9d0e1f2-a3b4-5678-9012-def123456789
6,3000000006,2000000006,2025-07-04T15:10:55.8024681,10.0,e1f2a3b4-c5d6-7890-1234-f12345678901
7,3000000008,2000000007,2025-07-04T16:22:33.7777777,13.6,a3b4c5d6-e7f8-9012-3456-234567890123
8,3000000009,2000000008,2025-07-04T17:33:44.8888888,8.8,c5d6e7f8-a9b0-1234-5678-456789012345
9,3000000010,2000000001;2000000002,2025-07-04T18:44:55.9999999,56.0,e7f8a9b0-c1d2-3456-7890-678901234567;a9b0c1d2-e3f4-5678-9012-890123456789
10,3000000001,2000000003;2000000004;2000000005,2025-07-04T19:55:05.1112223,208.0,c1d2e3f4-a5b6-7890-1234-012345678901;e3f4a5b6-c7d8-9012-3456-b34567890123;a5b6c7d8-e9f0-1234-5678-d56789012345
11,test1,2000000001;2000000005;2000000002,2025-07-05T01:53:26.0232229,307.0,c3d4e5f6-a7b8-9012-3456-f34567890abc;b6c7d8e9-f0a1-2345-6789-e67890123456;d4e5f6a7-b8c9-0123-4567-a4567890abcd
12,test1,2000000005,2025-07-05T01:56:21.9409469,10.8,d0e1f2a3-b4c5-6789-0123-ef1234567890
13,test1,test2,2025-07-05T01:57:31.5194323,7.99,d682639f-00bd-4f8f-9301-cb40bed37c13
